source_name,company,provider_family,board_identifier,endpoint,endpoint_type,country,active,configuration,pagination,source_file,source_health_metadata,fetch_succeeds,raw_job_count,normalized_job_count,fresh_job_count,unique_job_count,eligible_job_count,candidate_relevant_job_count,duplicate_rate,fetch_time_ms,error_failure_type,eligible_measurement,provider_total,marginal_unique_job_count,stale_job_count,future_date_count,unknown_date_count,canonical_url_unique_count,marginal_canonical_url_unique_count,default_title_gate_count,explicit_india_location_count,synthetic_india_software_proxy_count,remote_location_mention_count,missing_title_count,missing_location_count,missing_description_count,salary_present_count,experience_present_count,local_analysis_ms,http_calls,response_bytes,http_time_ms
lever:paytm,Paytm,lever,paytm,https://api.lever.co/v0/postings/paytm?mode=json,public JSON GET,UNKNOWN: no per-board metadata,True,{},single response; no adapter pagination,config.py:196,none,True,203,203,59,185,UNKNOWN,UNKNOWN,0.08867,6648.776,UNKNOWN,UNKNOWN: no candidate profile; synthetic proxy reported separately,UNKNOWN,185,144,0,0,203,203,12,162,8,0,0,0,1,0,194,20.128,1,3174794,6365.948
lever:meesho,Meesho,lever,meesho,https://api.lever.co/v0/postings/meesho?mode=json,public JSON GET,UNKNOWN: no per-board metadata,True,{},single response; no adapter pagination,config.py:196,none,True,49,49,5,48,UNKNOWN,UNKNOWN,0.020408,2915.7,UNKNOWN,UNKNOWN: no candidate profile; synthetic proxy reported separately,UNKNOWN,48,44,0,0,49,49,6,46,6,0,0,0,5,0,46,1.249,1,853274,2862.332
lever:mindtickle,Mindtickle,lever,mindtickle,https://api.lever.co/v0/postings/mindtickle?mode=json,public JSON GET,UNKNOWN: no per-board metadata,True,{},single response; no adapter pagination,config.py:196,none,True,19,19,4,19,UNKNOWN,UNKNOWN,0.0,2293.598,UNKNOWN,UNKNOWN: no candidate profile; synthetic proxy reported separately,UNKNOWN,19,15,0,0,19,19,4,19,4,0,0,0,0,0,17,3.745,1,362697,2257.547
lever:hevodata,Hevo Data,lever,hevodata,https://api.lever.co/v0/postings/hevodata?mode=json,public JSON GET,UNKNOWN: no per-board metadata,True,{},single response; no adapter pagination,config.py:196,none,True,48,48,7,45,UNKNOWN,UNKNOWN,0.0625,2588.524,UNKNOWN,UNKNOWN: no candidate profile; synthetic proxy reported separately,UNKNOWN,45,41,0,0,48,48,10,46,10,0,0,0,1,0,47,1.358,1,731264,2556.841
lever:zeta,Zeta,lever,zeta,https://api.lever.co/v0/postings/zeta?mode=json,public JSON GET,UNKNOWN: no per-board metadata,True,{},single response; no adapter pagination,config.py:196,none,True,21,21,6,20,UNKNOWN,UNKNOWN,0.047619,2673.827,UNKNOWN,UNKNOWN: no candidate profile; synthetic proxy reported separately,UNKNOWN,20,15,0,0,21,21,3,19,2,0,0,0,1,0,21,0.497,1,654171,2661.663
lever:fampay,FamPay,lever,fampay,https://api.lever.co/v0/postings/fampay?mode=json,public JSON GET,UNKNOWN: no per-board metadata,True,{},single response; no adapter pagination,config.py:196,none,True,14,14,0,14,UNKNOWN,UNKNOWN,0.0,4090.958,UNKNOWN,UNKNOWN: no candidate profile; synthetic proxy reported separately,UNKNOWN,14,14,0,0,14,14,3,14,3,0,0,0,0,0,13,0.395,1,257879,4084.529
lever:cred,CRED,lever,cred,https://api.lever.co/v0/postings/cred?mode=json,public JSON GET,UNKNOWN: no per-board metadata,True,{},single response; no adapter pagination,config.py:196,none,True,11,11,0,11,UNKNOWN,UNKNOWN,0.0,1981.914,UNKNOWN,UNKNOWN: no candidate profile; synthetic proxy reported separately,UNKNOWN,11,11,0,0,11,11,0,10,0,0,0,0,1,0,11,4.741,1,92182,1974.919
lever:coderio,Coderio,lever,coderio,https://api.lever.co/v0/postings/coderio?mode=json,public JSON GET,UNKNOWN: no per-board metadata,True,{},single response; no adapter pagination,config.py:196,none,True,24,24,6,24,UNKNOWN,UNKNOWN,0.0,2899.027,UNKNOWN,UNKNOWN: no candidate profile; synthetic proxy reported separately,UNKNOWN,24,18,0,0,24,24,13,0,0,0,0,0,8,0,24,0.559,1,614500,2875.608
lever:rws,RWS,lever,rws,https://api.lever.co/v0/postings/rws?mode=json,public JSON GET,UNKNOWN: no per-board metadata,True,{},single response; no adapter pagination,config.py:196,none,True,67,67,20,67,UNKNOWN,UNKNOWN,0.0,3215.059,UNKNOWN,UNKNOWN: no candidate profile; synthetic proxy reported separately,UNKNOWN,67,47,0,0,67,67,0,4,0,2,0,0,0,0,67,1.301,1,789837,3196.793
lever:dozee,Dozee,lever,dozee,https://api.lever.co/v0/postings/dozee?mode=json,public JSON GET,UNKNOWN: no per-board metadata,True,{},single response; no adapter pagination,config.py:196,none,True,20,20,6,15,UNKNOWN,UNKNOWN,0.25,2529.179,UNKNOWN,UNKNOWN: no candidate profile; synthetic proxy reported separately,UNKNOWN,15,14,0,0,20,20,0,10,0,0,0,0,0,0,20,0.589,1,442757,2514.245
